motion[0][0] = [-5, 0]
motion[0][1] = [-8, 8]
motion[0][2] = [-5, 16]
motion[0][3] = [-8, 24]
motion[0][4] = [-5, 32]
motion[0][5] = [-8, 40]
motion[0][6] = [-5, 48]
motion[0][7] = [-8, 56]
motion[0][8] = [-5, 64]
motion[0][9] = [-8, 72]
motion[0][10] = [-5, 80]
motion[0][11] = [-8, 88]
motion[0][12] = [-5, 96]
motion[0][13] = [-8, 104]
motion[0][14] = [-5, 112]
motion[0][15] = [-8, 120]
motion[0][16] = [-5, 128]
motion[0][17] = [-8, 136]
motion[0][18] = [-5, 144]
motion[0][19] = [-8, 152]
motion[0][20] = [-5, 160]
motion[0][21] = [-8, 168]
motion[0][22] = [-5, 176]
motion[0][23] = [-8, 184]
motion[1][0] = [3, 0]
motion[1][1] = [0, 8]
motion[1][2] = [3, 16]
motion[1][3] = [0, 24]
motion[1][4] = [3, 32]
motion[1][5] = [0, 40]
motion[1][6] = [3, 48]
motion[1][7] = [0, 56]
motion[1][8] = [3, 64]
motion[1][9] = [0, 72]
motion[1][10] = [3, 80]
motion[1][11] = [0, 88]
motion[1][12] = [3, 96]
motion[1][13] = [0, 104]
motion[1][14] = [3, 112]
motion[1][15] = [0, 120]
motion[1][16] = [3, 128]
motion[1][17] = [0, 136]
motion[1][18] = [3, 144]
motion[1][19] = [0, 152]
motion[1][20] = [3, 160]
motion[1][21] = [0, 168]
motion[1][22] = [3, 176]
motion[1][23] = [0, 184]
motion[2][0] = [11, 0]
motion[2][1] = [8, 8]
motion[2][2] = [11, 16]
motion[2][3] = [8, 24]
motion[2][4] = [11, 32]
motion[2][5] = [8, 40]
motion[2][6] = [11, 48]
motion[2][7] = [8, 56]
motion[2][8] = [11, 64]
motion[2][9] = [8, 72]
motion[2][10] = [11, 80]
motion[2][11] = [8, 88]
motion[2][12] = [11, 96]
motion[2][13] = [8, 104]
motion[2][14] = [11, 112]
motion[2][15] = [8, 120]
motion[2][16] = [11, 128]
motion[2][17] = [8, 136]
motion[2][18] = [11, 144]
motion[2][19] = [8, 152]
motion[2][20] = [11, 160]
motion[2][21] = [8, 168]
motion[2][22] = [11, 176]
motion[2][23] = [8, 184]
motion[3][0] = [19, 0]
motion[3][1] = [16, 8]
motion[3][2] = [19, 16]
motion[3][3] = [16, 24]
motion[3][4] = [19, 32]
motion[3][5] = [16, 40]
motion[3][6] = [19, 48]
motion[3][7] = [16, 56]
motion[3][8] = [19, 64]
motion[3][9] = [16, 72]
motion[3][10] = [19, 80]
motion[3][11] = [16, 88]
motion[3][12] = [19, 96]
motion[3][13] = [16, 104]
motion[3][14] = [19, 112]
motion[3][15] = [16, 120]
motion[3][16] = [19, 128]
motion[3][17] = [16, 136]
motion[3][18] = [19, 144]
motion[3][19] = [16, 152]
motion[3][20] = [19, 160]
motion[3][21] = [16, 168]
motion[3][22] = [19, 176]
motion[3][23] = [16, 184]
motion[4][0] = [27, 0]
motion[4][1] = [24, 8]
motion[4][2] = [27, 16]
motion[4][3] = [24, 24]
motion[4][4] = [27, 32]
motion[4][5] = [24, 40]
motion[4][6] = [27, 48]
motion[4][7] = [24, 56]
motion[4][8] = [27, 64]
motion[4][9] = [24, 72]
motion[4][10] = [27, 80]
motion[4][11] = [24, 88]
motion[4][12] = [27, 96]
motion[4][13] = [24, 104]
motion[4][14] = [27, 112]
motion[4][15] = [24, 120]
motion[4][16] = [27, 128]
motion[4][17] = [24, 136]
motion[4][18] = [27, 144]
motion[4][19] = [24, 152]
motion[4][20] = [27, 160]
motion[4][21] = [24, 168]
motion[4][22] = [27, 176]
motion[4][23] = [24, 184]
motion[5][0] = [35, 0]
motion[5][1] = [32, 8]
motion[5][2] = [35, 16]
motion[5][3] = [32, 24]
motion[5][4] = [35, 32]
motion[5][5] = [32, 40]
motion[5][6] = [35, 48]
motion[5][7] = [32, 56]
motion[5][8] = [35, 64]
motion[5][9] = [32, 72]
motion[5][10] = [35, 80]
motion[5][11] = [32, 88]
motion[5][12] = [35, 96]
motion[5][13] = [32, 104]
motion[5][14] = [35, 112]
motion[5][15] = [32, 120]
motion[5][16] = [35, 128]
motion[5][17] = [32, 136]
motion[5][18] = [35, 144]
motion[5][19] = [32, 152]
motion[5][20] = [35, 160]
motion[5][21] = [32, 168]
motion[5][22] = [35, 176]
motion[5][23] = [32, 184]
motion[6][0] = [43, 0]
motion[6][1] = [40, 8]
motion[6][2] = [43, 16]
motion[6][3] = [40, 24]
motion[6][4] = [43, 32]
motion[6][5] = [40, 40]
motion[6][6] = [43, 48]
motion[6][7] = [40, 56]
motion[6][8] = [43, 64]
motion[6][9] = [40, 72]
motion[6][10] = [43, 80]
motion[6][11] = [40, 88]
motion[6][12] = [43, 96]
motion[6][13] = [40, 104]
motion[6][14] = [43, 112]
motion[6][15] = [40, 120]
motion[6][16] = [43, 128]
motion[6][17] = [40, 136]
motion[6][18] = [43, 144]
motion[6][19] = [40, 152]
motion[6][20] = [43, 160]
motion[6][21] = [40, 168]
motion[6][22] = [43, 176]
motion[6][23] = [40, 184]
motion[7][0] = [51, 0]
motion[7][1] = [48, 8]
motion[7][2] = [51, 16]
motion[7][3] = [48, 24]
motion[7][4] = [51, 32]
motion[7][5] = [48, 40]
motion[7][6] = [51, 48]
motion[7][7] = [48, 56]
motion[7][8] = [51, 64]
motion[7][9] = [48, 72]
motion[7][10] = [51, 80]
motion[7][11] = [48, 88]
