motion[0][0] = [0, 0]
motion[0][1] = [0, 0]
motion[0][2] = [0, 0]
motion[0][3] = [0, 0]
motion[0][4] = [0, 0]
motion[0][5] = [0, 0]
motion[0][6] = [0, 0]
motion[0][7] = [0, 0]
motion[0][8] = [0, 0]
motion[0][9] = [0, 0]
motion[0][10] = [0, 0]
motion[0][11] = [0, 0]
motion[1][0] = [0, 0]
motion[1][1] = [0, 0]
motion[1][2] = [0, 0]
motion[1][3] = [0, 0]
motion[1][4] = [0, 0]
motion[1][5] = [0, 0]
motion[1][6] = [0, 0]
motion[1][7] = [0, 0]
motion[1][8] = [0, 0]
motion[1][9] = [0, 0]
motion[1][10] = [1, 0]
motion[1][11] = [0, 0]
motion[2][0] = [0, 0]
motion[2][1] = [0, 0]
motion[2][2] = [0, 0]
motion[2][3] = [0, 0]
motion[2][4] = [0, 0]
motion[2][5] = [0, 0]
motion[2][6] = [0, 0]
motion[2][7] = [0, 0]
motion[2][8] = [0, 0]
motion[2][9] = [0, 0]
motion[2][10] = [0, 0]
motion[2][11] = [0, 0]
motion[3][0] = [0, 0]
motion[3][1] = [0, 0]
motion[3][2] = [0, 0]
motion[3][3] = [0, 0]
motion[3][4] = [0, 0]
motion[3][5] = [0, 0]
motion[3][6] = [0, 0]
motion[3][7] = [0, 0]
motion[3][8] = [0, 0]
motion[3][9] = [0, 0]
motion[3][10] = [0, 0]
motion[3][11] = [0, 0]
motion[4][0] = [0, 0]
motion[4][1] = [0, 0]
motion[4][2] = [0, 0]
motion[4][3] = [0, 0]
motion[4][4] = [0, 0]
motion[4][5] = [0, 0]
motion[4][6] = [0, 0]
motion[4][7] = [0, 0]
motion[4][8] = [0, 0]
motion[4][9] = [0, 0]
motion[4][10] = [0, 0]
motion[4][11] = [0, 0]
motion[5][0] = [0, 0]
motion[5][1] = [0, 0]
motion[5][2] = [0, 0]
motion[5][3] = [0, 0]
motion[5][4] = [0, 0]
motion[5][5] = [0, 0]
motion[5][6] = [0, 0]
motion[5][7] = [0, 0]
motion[5][8] = [0, 0]
motion[5][9] = [0, 0]
motion[5][10] = [0, 0]
motion[5][11] = [0, 0]
motion[6][0] = [0, 0]
motion[6][1] = [0, 0]
motion[6][2] = [0, 0]
motion[6][3] = [0, 0]
motion[6][4] = [0, 0]
motion[6][5] = [0, 0]
motion[6][6] = [-1, 0]
motion[6][7] = [-2, 0]
motion[6][8] = [0, 0]
motion[6][9] = [0, 0]
motion[6][10] = [0, 0]
motion[6][11] = [0, 0]
motion[7][0] = [0, 0]
motion[7][1] = [0, 0]
motion[7][2] = [0, 0]
motion[7][3] = [0, 0]
motion[7][4] = [0, 0]
motion[7][5] = [0, 0]
motion[7][6] = [-1, 0]
motion[7][7] = [0, 0]
motion[7][8] = [0, 0]
motion[7][9] = [0, 0]
motion[7][10] = [0, 0]
motion[7][11] = [0, 0]
motion[8][0] = [0, 0]
motion[8][1] = [0, 0]
motion[8][2] = [0, 0]
motion[8][3] = [0, 0]
motion[8][4] = [0, 0]
motion[8][5] = [0, 0]
motion[8][6] = [0, 0]
motion[8][7] = [0, 0]
motion[8][8] = [0, 0]
motion[8][9] = [0, 0]
motion[8][10] = [0, 0]
motion[8][11] = [0, 0]
