motion[0][0] = [-7, 0]
motion[0][1] = [-6, 8]
motion[0][2] = [-9, 16]
motion[0][3] = [-8, 24]
motion[0][4] = [-7, 32]
motion[0][5] = [-6, 40]
motion[0][6] = [-9, 48]
motion[0][7] = [-8, 56]
motion[0][8] = [-7, 64]
motion[0][9] = [-6, 72]
motion[0][10] = [-9, 80]
motion[0][11] = [-8, 88]
motion[0][12] = [-7, 96]
motion[0][13] = [-6, 104]
motion[0][14] = [-9, 112]
motion[0][15] = [-8, 120]
motion[0][16] = [-7, 128]
motion[0][17] = [-6, 136]
motion[0][18] = [-9, 144]
motion[0][19] = [-8, 152]
motion[0][20] = [-7, 160]
motion[0][21] = [-6, 168]
motion[0][22] = [-9, 176]
motion[0][23] = [-8, 184]
motion[1][0] = [1, 0]
motion[1][1] = [2, 8]
motion[1][2] = [-1, 16]
motion[1][3] = [0, 24]
motion[1][4] = [1, 32]
motion[1][5] = [2, 40]
motion[1][6] = [-1, 48]
motion[1][7] = [0, 56]
motion[1][8] = [1, 64]
motion[1][9] = [2, 72]
motion[1][10] = [-1, 80]
motion[1][11] = [0, 88]
motion[1][12] = [1, 96]
motion[1][13] = [2, 104]
motion[1][14] = [-1, 112]
motion[1][15] = [0, 120]
motion[1][16] = [1, 128]
motion[1][17] = [2, 136]
motion[1][18] = [-1, 144]
motion[1][19] = [0, 152]
motion[1][20] = [1, 160]
motion[1][21] = [2, 168]
motion[1][22] = [-1, 176]
motion[1][23] = [0, 184]
motion[2][0] = [9, 0]
motion[2][1] = [10, 8]
motion[2][2] = [7, 16]
motion[2][3] = [8, 24]
motion[2][4] = [9, 32]
motion[2][5] = [10, 40]
motion[2][6] = [7, 48]
motion[2][7] = [8, 56]
motion[2][8] = [9, 64]
motion[2][9] = [10, 72]
motion[2][10] = [7, 80]
motion[2][11] = [8, 88]
motion[2][12] = [9, 96]
motion[2][13] = [10, 104]
motion[2][14] = [7, 112]
motion[2][15] = [8, 120]
motion[2][16] = [9, 128]
motion[2][17] = [10, 136]
motion[2][18] = [7, 144]
motion[2][19] = [8, 152]
motion[2][20] = [9, 160]
motion[2][21] = [10, 168]
motion[2][22] = [7, 176]
motion[2][23] = [8, 184]
motion[3][0] = [17, 0]
motion[3][1] = [18, 8]
motion[3][2] = [15, 16]
motion[3][3] = [16, 24]
motion[3][4] = [17, 32]
motion[3][5] = [18, 40]
motion[3][6] = [15, 48]
motion[3][7] = [16, 56]
motion[3][8] = [17, 64]
motion[3][9] = [18, 72]
motion[3][10] = [15, 80]
motion[3][11] = [16, 88]
motion[3][12] = [17, 96]
motion[3][13] = [18, 104]
motion[3][14] = [15, 112]
motion[3][15] = [16, 120]
motion[3][16] = [17, 128]
motion[3][17] = [18, 136]
motion[3][18] = [15, 144]
motion[3][19] = [16, 152]
motion[3][20] = [17, 160]
motion[3][21] = [18, 168]
motion[3][22] = [15, 176]
motion[3][23] = [16, 184]
motion[4][0] = [25, 0]
motion[4][1] = [26, 8]
motion[4][2] = [23, 16]
motion[4][3] = [24, 24]
motion[4][4] = [25, 32]
motion[4][5] = [26, 40]
motion[4][6] = [23, 48]
motion[4][7] = [24, 56]
motion[4][8] = [25, 64]
motion[4][9] = [26, 72]
motion[4][10] = [23, 80]
motion[4][11] = [24, 88]
motion[4][12] = [25, 96]
motion[4][13] = [26, 104]
motion[4][14] = [23, 112]
motion[4][15] = [24, 120]
motion[4][16] = [25, 128]
motion[4][17] = [26, 136]
motion[4][18] = [23, 144]
motion[4][19] = [24, 152]
motion[4][20] = [25, 160]
motion[4][21] = [26, 168]
motion[4][22] = [23, 176]
motion[4][23] = [24, 184]
motion[5][0] = [33, 0]
motion[5][1] = [34, 8]
motion[5][2] = [31, 16]
motion[5][3] = [32, 24]
motion[5][4] = [33, 32]
motion[5][5] = [34, 40]
motion[5][6] = [31, 48]
motion[5][7] = [32, 56]
motion[5][8] = [33, 64]
motion[5][9] = [34, 72]
motion[5][10] = [31, 80]
motion[5][11] = [32, 88]
motion[5][12] = [33, 96]
motion[5][13] = [34, 104]
motion[5][14] = [31, 112]
motion[5][15] = [32, 120]
motion[5][16] = [33, 128]
motion[5][17] = [34, 136]
motion[5][18] = [31, 144]
motion[5][19] = [32, 152]
motion[5][20] = [33, 160]
motion[5][21] = [34, 168]
motion[5][22] = [31, 176]
motion[5][23] = [32, 184]
motion[6][0] = [41, 0]
motion[6][1] = [42, 8]
motion[6][2] = [39, 16]
motion[6][3] = [40, 24]
motion[6][4] = [41, 32]
motion[6][5] = [42, 40]
motion[6][6] = [39, 48]
motion[6][7] = [40, 56]
motion[6][8] = [41, 64]
motion[6][9] = [42, 72]
motion[6][10] = [39, 80]
motion[6][11] = [40, 88]
motion[6][12] = [41, 96]
motion[6][13] = [42, 104]
motion[6][14] = [39, 112]
motion[6][15] = [40, 120]
motion[6][16] = [41, 128]
motion[6][17] = [42, 136]
motion[6][18] = [39, 144]
motion[6][19] = [40, 152]
motion[6][20] = [41, 160]
